seed,group,y,pred,in_split,in_norm,w_split,w_norm
0,1,26.0,28.518375,1,1,26.67144775390625,25.981508
0,1,27.0,19.267002,1,1,26.67144775390625,28.561169
0,1,27.0,28.518375,1,1,26.67144775390625,25.981508
0,1,26.0,27.330824,1,1,26.67144775390625,24.672215
0,1,27.0,25.954927,1,1,26.67144775390625,30.62925
0,4,82.0,76.792984,1,1,26.67144775390625,30.225168
0,9,92.0,77.76544,0,1,26.67144775390625,38.024567
0,10,93.2,86.20239,1,1,26.67144775390625,21.884115
0,10,94.4,90.02367,1,1,26.67144775390625,29.293472
0,10,93.2,97.71721,1,1,26.67144775390625,31.157022
0,10,80.5,96.11342,0,1,26.67144775390625,34.06052
0,14,91.0,34.817657,0,1,26.67144775390625,161.63173
0,15,94.0,51.886143,0,1,26.67144775390625,150.36525
0,9,93.0,57.0902,0,1,26.67144775390625,137.23105
0,10,93.0,87.08277,1,1,26.67144775390625,106.4894
0,17,43.0,84.494095,0,0,26.67144775390625,22.534754
0,22,32.0,18.867096,1,0,26.67144775390625,17.993034
0,23,30.0,18.006641,1,0,26.67144775390625,17.902725
0,27,36.0,25.926905,1,1,26.67144775390625,24.872564
0,29,32.0,28.417076,1,1,26.67144775390625,23.38183
0,30,30.0,28.121447,1,1,26.67144775390625,18.92494
0,33,72.0,65.57177,1,1,26.67144775390625,45.72692
0,15,85.0,66.41311,0,0,26.67144775390625,34.45446
0,17,69.0,22.134108,0,1,26.67144775390625,181.65045
0,17,84.3,22.98456,0,1,26.67144775390625,188.94275
0,17,86.4,25.212744,0,0,26.67144775390625,108.07654
0,17,88.8,28.8354,0,1,26.67144775390625,132.23355
0,17,73.6,38.93524,0,1,26.67144775390625,125.306335
0,17,62.5,46.449665,0,1,26.67144775390625,93.14787
0,17,93.1,27.491844,0,1,26.67144775390625,160.19203
0,9,85.5,86.07821,1,1,26.67144775390625,22.079603
0,15,91.0,87.25182,1,1,26.67144775390625,23.191242
0,37,63.9,67.72277,1,1,26.67144775390625,42.516945
0,9,86.0,89.018715,1,1,26.67144775390625,24.713224
0,39,92.5,80.09279,1,1,26.67144775390625,33.24279
0,39,93.6,72.57594,0,1,26.67144775390625,48.46719
0,39,93.2,65.11411,0,1,26.67144775390625,71.5832
0,14,92.7,88.72408,1,1,26.67144775390625,33.455494
0,15,92.9,65.43509,0,0,26.67144775390625,47.015427
0,9,92.4,87.23143,1,1,26.67144775390625,39.381344
0,10,92.5,54.09446,0,0,26.67144775390625,41.767086
0,17,93.5,88.85875,1,1,26.67144775390625,22.218956
0,37,65.0,51.967144,1,1,26.67144775390625,44.67609
0,40,30.0,69.277,0,0,26.67144775390625,44.290802
0,37,71.0,58.579906,1,1,26.67144775390625,34.30636
0,44,63.0,50.382164,1,1,26.67144775390625,67.23769
0,45,62.0,61.091106,1,1,26.67144775390625,47.41769
0,45,33.0,59.85996,0,1,26.67144775390625,56.454155
0,9,90.0,86.07821,1,1,26.67144775390625,22.079603
0,14,92.0,88.253746,1,1,26.67144775390625,24.504814
0,15,90.0,87.25182,1,1,26.67144775390625,23.191242
0,49,110.0,49.3185,0,0,26.67144775390625,64.90388
0,49,75.0,73.193016,1,1,26.67144775390625,57.816753
0,49,104.0,61.443676,0,0,26.67144775390625,72.6928
0,49,106.0,49.3185,0,0,26.67144775390625,64.90388
0,37,55.0,69.68886,0,1,26.67144775390625,30.43813
0,37,45.0,63.761112,0,0,26.67144775390625,30.684868
0,37,40.0,56.722595,0,1,26.67144775390625,48.03757
0,40,55.0,71.27435,0,0,26.67144775390625,31.737188
0,40,45.0,60.53098,0,1,26.67144775390625,56.65351
0,40,45.0,52.621826,1,1,26.67144775390625,56.009834
0,49,75.0,49.3185,0,1,26.67144775390625,64.90388
0,49,70.0,49.3185,0,1,26.67144775390625,64.90388
0,15,92.1,90.06823,1,1,26.67144775390625,21.242277
0,17,92.6,93.97209,1,1,26.67144775390625,26.835772
0,49,105.0,49.3185,0,0,26.67144775390625,64.90388
0,53,42.0,79.470894,0,1,26.67144775390625,85.62854
0,9,90.0,89.018715,1,1,26.67144775390625,24.713224
0,37,80.0,84.52242,1,1,26.67144775390625,31.980381
0,37,73.0,77.7051,1,1,26.67144775390625,44.55571
0,40,58.0,76.64491,0,1,26.67144775390625,48.404346
0,40,50.0,72.89719,0,1,26.67144775390625,60.39043
0,14,91.2,88.253746,1,1,26.67144775390625,24.504814
0,40,79.0,82.66651,1,1,26.67144775390625,35.119457
0,40,62.0,81.22782,0,1,26.67144775390625,44.74484
0,40,52.0,76.59442,0,0,26.67144775390625,48.63636
0,40,38.0,70.59367,0,0,26.67144775390625,54.832718
0,57,91.0,91.32069,1,1,26.67144775390625,14.348407
0,57,88.0,90.15887,1,1,26.67144775390625,22.978537
0,57,76.0,72.85275,1,1,26.67144775390625,29.892628
0,57,64.0,68.503914,1,1,26.67144775390625,66.70874
0,17,76.0,93.97209,0,0,26.67144775390625,26.835772
0,14,92.0,88.56353,1,1,26.67144775390625,25.785484
0,15,91.0,90.06823,1,1,26.67144775390625,21.242277
0,9,91.0,89.018715,1,1,26.67144775390625,24.713224
0,10,92.0,90.12548,1,1,26.67144775390625,16.239887
0,39,90.0,65.11411,0,1,26.67144775390625,71.5832
0,39,43.05,65.11411,0,1,26.67144775390625,71.5832
0,14,94.0,88.56353,1,1,26.67144775390625,25.785484
0,17,92.0,93.97209,1,1,26.67144775390625,26.835772
0,15,93.5,90.06823,1,1,26.67144775390625,21.242277
0,40,82.8,82.506485,1,1,26.67144775390625,29.403795
0,40,74.7,82.346725,1,1,26.67144775390625,32.66075
0,40,64.9,80.362236,0,1,26.67144775390625,46.996284
0,40,57.6,76.64491,0,1,26.67144775390625,48.404346
0,40,56.0,70.59367,0,1,26.67144775390625,54.832718
0,40,56.5,72.89719,0,1,26.67144775390625,60.39043
0,40,47.6,68.16888,0,1,26.67144775390625,50.71001
0,53,41.0,22.14845,0,1,26.67144775390625,68.37265
0,49,87.0,60.996006,0,1,26.67144775390625,81.74455
0,37,52.3,60.050915,1,1,26.67144775390625,59.871407
0,57,25.6,33.428566,1,1,26.67144775390625,33.91123
0,57,41.9,38.68763,1,1,26.67144775390625,33.754482
0,57,53.1,54.960545,1,1,26.67144775390625,29.371191
0,57,64.0,55.6101,1,1,26.67144775390625,24.193745
0,57,70.4,63.490772,1,1,26.67144775390625,24.398464
0,57,72.2,79.62496,1,1,26.67144775390625,19.029963
0,57,28.0,48.70635,0,0,26.67144775390625,25.301434
0,57,46.0,51.098225,1,1,26.67144775390625,29.765379
0,57,60.0,63.277336,1,1,26.67144775390625,23.68237
0,57,78.0,70.987335,1,1,26.67144775390625,24.597214
0,57,93.0,80.84002,1,0,26.67144775390625,20.539322
0,57,93.2,82.023254,1,0,26.67144775390625,16.724277
0,57,90.0,88.78857,1,1,26.67144775390625,14.562546
0,57,99.0,88.42312,1,0,26.67144775390625,12.060938
0,57,99.0,87.47104,1,1,26.67144775390625,23.895832
0,57,99.0,79.56433,0,0,26.67144775390625,25.729477
0,57,95.0,77.65829,0,0,26.67144775390625,31.992603
0,57,78.0,71.22372,1,1,26.67144775390625,25.70058
0,57,67.0,58.442833,1,1,26.67144775390625,23.167566
0,57,52.0,50.885124,1,1,26.67144775390625,30.146042
0,57,38.0,48.56927,1,1,26.67144775390625,24.898127
0,53,64.0,73.16552,1,1,26.67144775390625,47.835133
0,53,47.0,59.563137,1,1,26.67144775390625,46.54316
0,53,33.0,47.508457,0,1,26.67144775390625,44.75575
